DATE,1-Yr,2-Yr,3-Yr,5-Yr,10-Yr
11/1/1998,2.3458166,2.42793540,2.45619220,,2.54411090
12/1/1998,2.2704824,2.38931180,2.42053650,,2.50163980
1/1/1999,2.395567,2.48266800,2.51001740,,2.58712650
2/1/1999,2.4182198,2.51393160,2.54544810,,2.62529730
3/1/1999,2.7113296,2.76350050,2.77223810,,2.78915400
4/1/1999,2.7007827,2.77150980,2.78293680,,2.79633770
5/1/1999,2.7428736,2.80321510,2.82008590,,2.84903280
6/1/1999,2.3467564,2.69110500,2.80192870,,2.93710650
7/1/1999,2.8008632,2.92387560,2.96505700,,3.01055030
8/1/1999,2.8129568,2.95853710,3.00700290,,3.05571150
9/1/1999,2.6882069,2.91534140,2.99722280,,3.09391210
10/1/1999,2.8762836,3.01633620,3.07185580,,3.13486100
11/1/1999,2.9859271,3.08044220,3.11732960,,3.14923320
12/1/1999,3.1640203,3.19567180,3.21378100,,3.21736450
1/1/2000,3.080288,3.20862190,3.25347380,,3.27436980
2/1/2000,3.1570678,3.28600470,3.33252070,,3.34882440
3/1/2000,3.2388566,3.32309820,3.34813870,,3.32866180
4/1/2000,3.1606735,3.21268940,3.21833780,,3.17823920
5/1/2000,3.3126257,3.33774690,3.33467470,,3.27242330
6/1/2000,3.7602013,3.53577550,3.46223700,,3.32628410
7/1/2000,3.0862813,3.13215450,3.13181170,,3.08851550
8/1/2000,3.1234906,3.14483810,3.13123740,,3.06543610
9/1/2000,3.1741185,3.13053670,3.08958050,,2.98901660
10/1/2000,3.1062109,3.08616840,3.05188280,,2.96115450
11/1/2000,3.0989798,3.06852500,3.03570220,,2.95587530
12/1/2000,3.1672986,3.05172130,2.98833370,,2.87612270
1/1/2001,2.6536536,2.64533610,2.60270520,,2.53329330
2/1/2001,2.632136,2.63393320,2.62639090,,2.64181590
3/1/2001,2.1422446,2.35514510,2.40763980,,2.49868750
4/1/2001,2.5592129,2.57612760,2.56974210,,2.58679400
5/1/2001,2.7238774,2.72875330,2.73177290,,2.76192940
6/1/2001,2.7511842,2.76925910,2.78757920,,2.84530510
7/1/2001,2.6878453,2.73440450,2.75474510,,2.80698290
8/1/2001,2.5859519,2.62131240,2.63441850,,2.68643730
9/1/2001,3.1152263,2.88872270,2.81455770,,2.74902670
10/1/2001,2.2912795,2.36907910,2.40700420,,2.52792630
11/1/2001,2.0813513,2.19425600,2.24408560,,2.39653740
12/1/2001,2.7313753,2.61127910,2.59129830,,2.63934620
1/1/2002,2.2902539,2.48470760,2.58442730,,2.78993690
2/1/2002,2.1457897,2.37114010,2.48196100,,2.71237690
3/1/2002,2.013877,2.30767170,2.44212790,,2.70465510
4/1/2002,2.5878316,2.71105170,2.78938790,,2.95203560
5/1/2002,2.6186536,2.63346490,2.67070430,,2.79278480
6/1/2002,2.3419254,2.47018760,2.54719790,,2.73036860
7/1/2002,2.3480992,2.42447860,2.48206970,,2.64739910
8/1/2002,2.1314545,2.18337120,2.22608300,,2.39261050
9/1/2002,2.0411286,2.04351060,2.06479100,,2.21752560
10/1/2002,2.0053377,1.97019170,1.97695830,,2.12001920
11/1/2002,2.0305948,2.01511510,2.03419390,,2.19351270
12/1/2002,1.9511579,2.04593630,2.11098960,,2.32740910
1/1/2003,2.0790118,2.07176630,2.09203300,,2.24393940
2/1/2003,2.1065381,2.08478250,2.10014590,,2.24556410
3/1/2003,1.903343,1.89731560,1.91485380,,2.07838640
4/1/2003,1.9895133,1.96683970,1.97531170,,2.11669010
5/1/2003,1.8385312,1.89379310,1.93197660,,2.11707770
6/1/2003,2.2847306,2.01962810,1.94095180,,1.97881420
7/1/2003,1.6263355,1.70299040,1.75167470,,1.97345100
8/1/2003,1.8526073,1.98217350,2.05756040,,2.28947090
9/1/2003,1.9804944,2.10006300,2.17463480,,2.39661640
10/1/2003,1.7885532,1.84922930,1.89638090,,2.10632590
11/1/2003,1.9308072,2.01634050,2.07726360,,2.29113690
12/1/2003,2.2234564,2.18930690,2.21047100,,2.36537930
1/1/2004,1.9069713,2.01535890,2.08706390,,2.31675010
2/1/2004,1.9871939,2.02705270,2.07428050,,2.27545740
3/1/2004,1.7042839,1.84189850,1.92044590,,2.17168560
4/1/2004,1.8527671,1.89513820,1.93990830,,2.14807680
5/1/2004,2.2141024,2.23160220,2.27481060,,2.45468940
6/1/2004,2.5740778,2.46114540,2.45967130,,2.56736820
7/1/2004,2.2558469,2.28119440,2.32638030,,2.50185700
8/1/2004,2.3408529,2.31051570,2.33175950,,2.47165180
9/1/2004,2.6767708,2.40397800,2.33406950,,2.35586560
10/1/2004,2.145831,2.16122110,2.19236750,,2.35055150
11/1/2004,2.2068239,2.17667200,2.18507640,,2.30709120
12/1/2004,1.7525286,1.99943940,2.10357020,,2.34694220
1/1/2005,2.1405957,2.18293270,2.21762010,,2.36875120
2/1/2005,2.1370072,2.19056700,2.22547410,,2.37065330
3/1/2005,2.3342418,2.34875160,2.36769240,,2.47490400
4/1/2005,2.4622893,2.43585650,2.44018180,,2.52159460
5/1/2005,2.5780667,2.43159780,2.38634430,,2.40355540
6/1/2005,2.3619011,2.27579400,2.24772770,,2.29496120
7/1/2005,2.3318043,2.30601530,2.29734850,,2.35981200
8/1/2005,2.4638191,2.44058910,2.42983440,,2.47095780
9/1/2005,2.3538136,2.36302600,2.34327220,,2.35365650
10/1/2005,2.8474638,2.68041090,2.61073710,,2.54926170
11/1/2005,3.0510174,2.80532080,2.70039540,,2.57587440
12/1/2005,3.2271725,2.88323470,2.74296950,,2.57025120
1/1/2006,2.4027758,2.43364460,2.42614130,,2.44887270
2/1/2006,2.5082827,2.52090660,2.50709890,,2.51356420
3/1/2006,1.768612,2.15939270,2.27982680,,2.47412540
4/1/2006,2.6830379,2.67049050,2.64712040,,2.62574210
5/1/2006,2.8830197,2.77615360,2.72332660,,2.66359070
6/1/2006,2.7447553,2.71554520,2.68977340,,2.66582870
7/1/2006,2.8005219,2.76796100,2.74438100,,2.72192300
8/1/2006,2.8670646,2.75824470,2.69712780,,2.61940380
9/1/2006,2.6513028,2.61668080,2.57304540,,2.51748030
10/1/2006,2.4007047,2.47416670,2.47299550,,2.48575300
11/1/2006,1.8893923,2.19200570,2.26460960,,2.37897910
12/1/2006,1.9891528,2.22131580,2.26730480,,2.34679560
1/1/2007,2.6838116,2.61918450,2.57396510,,2.52931180
2/1/2007,2.6396415,2.62830590,2.60154730,,2.57563040
